DATE,COUNTRY,REVENUE_NET_USD_TOTAL,AD_COST_USD_PAID_DISPLAY,AD_COST_USD_EMAIL,AD_COST_USD_PAID_SOCIAL,AD_COST_USD_SEARCH_BRAND,AD_COST_USD_SEARCH_NON_BRAND,AD_COST_USD_SEARCH_SHOPPING,AD_IMPRESSIONS_PAID_DISPLAY,REVENUE_NET_USD_PAID_DISPLAY,REVENUE_NET_USD_EMAIL,REVENUE_NET__USD_PAID_SOCIAL,REVENUE_NET_USD_SEARCH_BRAND,REVENUE_NET_USD_SEARCH_NON_BRAND,REVENUE_NET_USD_SEARCH_SHOPPING
2025-07-27,US,65314,2612,554,2588,2358,16244,15296,529694,1100,5862,2665,8824,6931,5182
2025-07-28,US,534914,6674,1798,865,9494,38380,25118,1524918,2439,41150,1514,22505,26685,14566
2025-07-29,US,634197,5212,1894,2952,8206,47634,29684,1401294,2016,51700,3100,24544,25420,11310
2025-07-30,US,667999,2539,1858,6007,8548,43204,33532,670858,2038,44578,4802,19483,31140,16375
2025-07-31,US,640579,5090,2570,4512,8964,37590,28918,1333222,4660,54768,1949,22017,17722,12394
2025-08-01,US,523379,4038,1884,4916,6458,33596,24804,980192,968,54448,1911,25168,21519,11230
2025-08-02,US,91330,1244,704,4519,3024,17050,13322,244359,710,12644,2344,4473,8703,4934
2025-08-03,US,72637,1060,588,6241,2204,17410,14766,222094,366,6846,1119,5092,12365,8916
2025-08-04,US,630002,5880,1910,2518,6482,39380,26844,1450442,1479,53591,1904,21634,28637,11938
2025-08-05,US,659029,6606,2102,560,6938,46906,37390,1556934,2600,49726,1994,24198,34240,15032
2025-08-06,US,643769,5408,2054,2182,7950,44666,37834,1307868,2376,52046,3986,28581,29857,15432
2025-08-07,US,582283,6136,3092,3996,7188,45206,39964,1403796,3107,48147,3501,19028,27335,14472
2025-08-08,US,523500,5658,2008,3798,6322,37898,31480,1312966,1830,41185,3914,19437,24250,17877
2025-08-09,US,94008,2892,694,3594,2554,16382,18640,578782,2114,11500,3148,6253,5592,7180
2025-08-10,US,84510,2660,586,4570,2602,14858,21384,498326,664,7491,7916,4043,7614,7681
2025-08-11,US,564392,6646,1944,4311,6850,39516,36860,1428592,1624,70638,3439,17392,21739,11410
2025-08-12,US,684363,6606,2088,4986,7260,50288,36104,1523848,3188,51585,3434,20010,31907,23986
2025-08-13,US,678596,4824,2048,3220,7536,47342,33534,1170060,7194,46593,3707,16388,29489,17516
2025-08-14,US,572530,5002,3092,2649,6964,39368,31886,1197022,4604,40901,3093,16847,27896,10614
2025-08-15,US,481170,4246,2008,2624,6866,32234,26776,1035992,1673,38637,5075,10815,20528,14562
2025-08-16,US,79538,1162,694,2503,2584,18872,25588,243143,624,16308,2999,3048,4800,4071
2025-08-17,US,68087,994,584,2084,2334,14890,22040,214310,407,6036,2441,5969,5673,6673
2025-08-18,US,646684,5442,1942,556,7520,36790,34918,1424188,4448,49167,6166,13445,27315,12120
2025-08-19,US,644127,5932,2082,120,8008,38826,39896,1465242,4562,56003,2854,21349,28143,19422
2025-08-20,US,721537,5598,2044,2370,7554,49716,29614,1347398,2221,63309,3318,18403,48980,14285
2025-08-21,US,678252,6040,3072,2024,7714,49604,32394,1385362,8458,59625,2765,17664,30139,15671
2025-08-22,US,560455,4524,2014,1207,6202,32782,34328,1047534,1693,43318,2213,18643,23800,15853
2025-08-23,US,85934,1782,680,2486,2390,20402,22502,374438,1729,10412,2570,6599,7128,9241
2025-08-24,US,80569,723,578,3078,2412,18080,23828,157057,1299,9059,5598,3629,9787,8668
2025-08-25,US,616507,4098,1914,2918,6940,39628,43834,1061132,2806,33511,3641,12351,28665,14582
2025-08-26,US,658203,4160,2022,2920,7514,51240,44250,1074866,2712,46106,2675,19956,38269,14288
2025-08-27,US,634045,4066,2020,3462,9160,48864,43452,1061586,1947,54364,2722,21622,35270,16406
2025-08-28,US,630028,1876,3084,3556,6330,40636,42844,465447,2734,54345,2564,14765,29857,15127
2025-08-29,US,525515,3210,2030,3408,4886,29030,31780,802024,1771,43610,2255,11386,29801,19737
2025-08-30,US,85813,885,694,2868,2178,17556,18764,180241,1264,16993,2783,5184,11374,6608
2025-08-31,US,57910,1012,562,2081,1952,14522,18696,208954,977,7889,1112,4386,6376,5312
,US,0,52258,139,722027,967,7542,14900,18136035,0,0,0,0,0,0
2024-09-05,US,721898,4460,3800,7712,13002,59022,34774,788797,3299,48810,3301,18385,28458,20507
2024-09-06,US,568643,4102,2178,6700,10328,44676,35926,666834,2493,43476,3597,9245,20879,14511
2024-09-07,US,116611,1343,810,7782,3768,23232,20328,133584,1141,6257,2560,5349,10533,5643
2024-09-08,US,77453,1178,306,8377,2686,21678,22768,123784,796,4281,2138,4168,3833,9329
2024-09-09,US,661173,5284,2266,8940,12770,57768,56414,1003086,4985,56166,4451,16920,29660,15088
2024-09-10,US,706643,5642,2618,9416,11148,60248,33876,1116914,4573,47789,4802,20856,35340,11944
2024-09-11,US,730924,5954,2070,7692,12840,54878,55242,1069742,9558,58851,2297,10889,26101,10101
2024-09-12,US,660198,5132,3800,7544,12720,55976,44108,827875,2956,45494,2459,9270,31768,14672
2024-09-13,US,568673,5512,2178,7154,10462,45170,38504,910068,1281,48719,3931,11698,16324,9947
2024-09-14,US,100720,2670,810,7738,3776,22280,22996,229504,1918,7149,2520,6056,8771,4324
2024-09-15,US,72369,1719,612,7578,3600,21220,21400,204251,678,7514,3502,3153,4941,3668
2024-09-16,US,619873,6232,2266,8812,12216,54660,37648,1154036,3136,47665,3201,15798,36978,10182
2024-09-17,US,680444,3332,2618,9860,14642,55370,36712,569324,2402,42725,2762,15275,21313,14000
2024-09-18,US,787227,4212,2070,11636,13688,52340,42784,650721,2393,61011,4100,19582,25314,17596
2024-09-19,US,743328,4022,3800,11384,14102,55076,32010,540336,804,56044,5638,18812,17859,16949
2024-09-20,US,650364,2226,2178,11336,8938,40476,36440,331643,1113,53418,3964,12146,18181,12487
2024-09-21,US,101713,2710,810,11652,3722,19562,21126,234949,1240,9768,4777,4466,8729,5813
2024-09-22,US,79548,1681,612,12410,1868,19954,21612,152140,1040,8869,3911,1855,6149,5788
2024-09-23,US,631193,3215,2266,11750,13836,49476,41348,562949,3210,39220,5061,16865,21763,12259
2024-09-24,US,747193,2579,2618,12112,12450,50206,55538,478114,1621,63085,5126,12082,25216,19236
2024-09-25,US,788784,5286,2070,13450,15098,49766,56000,899704,3393,80823,4453,18780,27119,18794
2024-09-26,US,696193,2488,3800,11668,13358,51578,47366,412739,2403,50849,5866,12746,19862,11409
2024-09-27,US,556207,2752,2178,11342,10480,39840,36720,458528,1680,49230,2676,13415,15119,7806
2024-09-28,US,122924,1314,810,11162,3802,21176,19704,145327,704,22395,2966,2661,7230,4590
2024-09-29,US,102137,2431,612,12008,3062,20436,19300,254861,740,10337,4050,3574,4392,6423
2024-09-30,US,694204,2995,2266,11884,10348,47962,35824,611332,2869,68716,3037,19888,16142,8879
2024-10-01,US,777877,3842,2840,13050,10212,50738,45160,838664,2658,52061,4006,16267,28845,11391
2024-10-02,US,666392,2024,1930,12868,10790,50732,45810,424600,2979,45862,3685,10442,19373,14368
2024-10-03,US,782585,4494,3232,12504,10270,48590,48124,876266,4145,60572,3736,16490,36001,11330
2024-10-04,US,571366,4090,2054,12090,8278,40734,39656,794862,2387,35455,6352,13091,18203,15877
2024-10-05,US,129256,2438,706,13280,2864,21052,25160,279956,790,11443,3448,4135,7755,7536
2024-10-06,US,88273,1383,686,13194,2564,22598,24504,167107,1012,11290,4496,1576,7626,4677
2024-10-07,US,641487,4114,2420,14108,9868,47832,39790,879296,797,46836,1841,11539,16955,12399
2024-10-08,US,799013,4012,2840,15130,10148,53204,36638,714714,2325,62311,5239,12153,30534,11415
2024-10-09,US,751359,4778,1930,14946,10436,45444,48590,995888,2299,54022,5868,16532,17360,14172
2024-10-10,US,593669,4432,3232,13984,11174,48730,44730,960046,2851,32898,3854,13211,17266,16372
2025-05-16,US,412612,3034,2170,242,6426,19018,20092,855686,4063,48021,2843,15142,19697,10968
2025-05-17,US,77660,1422,540,165,2866,10448,12412,334600,4197,16126,2776,6051,5408,5020
2025-05-18,US,63007,1340,444,175,2400,10562,15180,340594,1265,11168,2291,2236,6070,6780
2025-05-19,US,484688,4518,2326,160,8736,28976,20820,1345032,3721,47680,2618,19985,26493,12250
2025-05-20,US,522529,4332,2498,165,8694,30278,22458,1242436,4120,58074,1104,12030,22896,9436
2025-05-21,US,522250,2247,2110,165,8680,26706,22168,614754,1958,58929,2690,16797,22434,15013
2025-05-22,US,500656,2296,2754,162,8478,21410,20552,602406,567,48227,1506,15824,17231,13227
2025-05-23,US,368969,3838,2170,84,7458,19194,15978,976662,3577,52123,1502,10816,11910,8577
2025-05-24,US,78153,1734,540,166,3078,8684,10812,369346,2165,17048,1400,3313,4464,7040
2025-05-25,US,37549,783,444,82,2802,7504,10790,163814,728,7991,1456,2478,3249,3242
