DATE,COUNTRY,REVENUE_NET_USD_TOTAL,AD_COST_USD_CRITEO_PROSPECTING,AD_COST_USD_CRITEO_REMARKETING,AD_COST_USD_EMAIL,AD_COST_USD_FACEBOOK_ASC,AD_COST_USD_FACEBOOK_PROSP,AD_COST_USD_FACEBOOK_REMARKETING,AD_COST_USD_FACEBOOK_RETENTION,AD_COST_USD_GOOGLE_REMARKETING,AD_COST_USD_PAID_DISPLAY,AD_COST_USD_SEARCH_BRAND,AD_COST_USD_SEARCH_NON_BRAND,AD_COST_USD_SEARCH_PMAX,AD_COST_USD_SEARCH_SHOPPING,AD_IMPRESSIONS_CRITEO_PROSPECTING,AD_IMPRESSIONS_CRITEO_REMARKETING,EMAIL_OPEN,AD_IMPRESSIONS_FACEBOOK_ASC,AD_IMPRESSIONS_FACEBOOK_PROSP,AD_CLICKS_FACEBOOK_REMARKETING,AD_CLICKS_FACEBOOK_RETENTION,AD_CLICKS_GOOGLE_REMARKETING,AD_CLICKS_SEARCH_BRAND,AD_IMPRESSIONS_SEARCH_NON_BRAND,AD_IMPRESSIONS_SEARCH_PMAX,AD_IMPRESSIONS_SEARCH_SHOPPING,SESSIONS_ORGANIC
2022-07-01,US,387224,511,1389,1292,0,473,0,0,546,0,18216,17126,0,6680,247416,288857,175918,0,42336,0,0,0,2724,315910,0,390076,16362
2022-07-02,US,64608,0,772,338,0,478,0,0,772,1222,4544,8738,0,2784,0,166920,28959,0,42448,0,0,119178,910,188754,0,203740,3890
2022-07-03,US,49517,898,503,254,0,506,0,0,394,0,3132,9692,0,3266,630902,111542,15808,0,51184,0,0,0,734,184404,0,182148,2888
2022-07-04,US,75814,1438,609,260,0,0,0,0,351,0,4962,11250,0,5012,930434,130533,141006,0,0,0,0,0,900,188606,0,333092,4524
2022-07-05,US,407333,1436,1826,1234,0,0,0,0,0,1310,25418,25500,0,12036,718588,393968,209065,0,0,0,0,204132,3540,314046,0,656754,18544
2022-07-06,US,479195,456,4096,1692,0,470,0,0,0,0,27276,21152,0,3536,234427,855068,195372,0,60956,0,0,0,4028,289420,0,103192,19892
2022-07-07,US,486343,1440,3074,1368,0,468,0,0,0,663,22034,22912,0,3278,485976,666670,191998,0,67164,0,0,91911,3142,272630,0,97754,19272
2022-07-08,US,402665,275,3058,1292,0,0,0,0,0,0,19056,16118,0,3226,92892,668786,186702,0,0,0,0,0,2894,196088,0,81416,12802
2022-07-09,US,67801,165,1238,338,0,465,0,0,0,0,5662,8376,0,946,58153,284028,33854,0,44179,0,0,0,1018,134154,0,50136,4718
2022-07-10,US,55295,335,0,254,0,498,0,0,0,0,5706,9238,0,862,171440,0,22639,0,49661,0,0,0,1068,130522,0,51914,3312
2022-07-11,US,386584,1340,2340,1464,0,501,0,0,0,0,23974,21254,0,4016,591636,504746,183891,0,48561,0,0,0,2954,271010,0,113382,5756
2022-07-12,US,457224,1338,1703,1234,0,482,0,0,0,660,34670,18858,0,8100,643100,333138,181096,0,48469,0,0,117472,4620,226330,0,822566,14950
2022-07-13,US,470690,944,1899,1692,0,0,0,0,0,0,24502,20246,0,6090,371310,363163,186388,0,0,0,0,0,3754,290402,0,350148,15778
2022-07-14,US,439631,1094,4150,1368,0,470,0,0,0,0,18534,26548,0,12178,334638,790528,200314,0,31349,0,0,0,2798,374012,0,908166,15096
2022-07-15,US,431092,270,2028,1292,0,948,0,0,0,572,14290,20582,0,13050,69146,399248,197028,0,69766,0,0,111748,2186,309774,0,1183650,9982
2022-07-16,US,63487,452,255,338,0,467,0,0,276,517,5418,12322,0,2312,118390,55696,34953,0,41439,0,0,72922,986,221576,0,231430,5794
2022-07-17,US,48107,154,254,254,0,0,0,0,202,531,6370,12338,0,3206,40228,54471,24059,0,0,0,0,62344,1120,242266,0,326298,3408
2022-07-18,US,406767,382,530,1464,0,992,0,0,0,659,27278,23512,0,8138,116016,107326,187407,0,96884,0,0,118122,3840,340520,0,809862,17834
